,minutes,min_per_fga,min_per_fg3a,min_per_fta,min_per_orb,min_per_drb,min_per_ast,min_per_stl,min_per_blk,min_per_tov,min_per_pf
16705,31.75,2.4423076923076925,3.96875,12.030383597883596,24.571618357487928,5.291666666666667,31.75,31.75,26.854885057471257,31.75,15.875
16706,24.233333333333334,3.029166666666667,24.233333333333334,12.182057226399333,12.116666666666667,8.077777777777778,8.077777777777778,12.116666666666667,24.70555555555556,12.116666666666667,12.116666666666667
16707,24.083333333333332,2.1893939393939394,8.027777777777777,4.013888888888888,24.083333333333332,3.0104166666666665,12.041666666666666,17.37892156862745,16.28939393939394,24.083333333333332,8.027777777777777
16708,20.95,2.992857142857143,4.1899999999999995,3.4916666666666667,21.980392156862745,10.475,3.4916666666666667,16.761074561403507,24.077083333333334,20.95,10.475
16709,15.816666666666666,2.2595238095238095,3.9541666666666666,8.275,16.783333333333335,7.908333333333333,7.908333333333333,15.04925925925926,17.778030303030302,14.340902777777778,5.272222222222222
16710,36.93333333333333,6.155555555555555,9.977976210845455,4.616666666666666,9.233333333333333,3.3575757575757574,21.764512345679005,36.93333333333333,36.93333333333333,36.93333333333333,12.259223163841808
16711,36.55,1.5891304347826085,3.3227272727272723,18.275,27.925802469135803,7.31,6.091666666666666,24.678680555555566,34.63055555555555,12.183333333333332,18.275
16712,33.61666666666667,2.1010416666666667,6.723333333333334,11.205555555555556,27.294444444444448,6.723333333333334,5.602777777777778,23.320625,25.7125,16.808333333333334,8.404166666666667
16713,32.6,16.3,16.3,15.032747747747752,28.510879629629628,6.5200000000000005,4.6571428571428575,32.6,28.46666666666666,8.15,10.866666666666667
16714,32.266666666666666,4.609523809523809,6.453333333333333,16.133333333333333,32.266666666666666,32.266666666666666,8.066666666666666,30.722499999999993,33.90476190476191,32.266666666666666,32.266666666666666
16715,29.0,1.5263157894736843,4.142857142857143,9.666666666666666,14.5,7.25,14.5,21.041666666666664,24.907051282051285,17.885277777777777,16.403089569160997
16716,19.133333333333333,4.783333333333333,4.783333333333333,15.917424242424238,25.829166666666666,6.377777777777777,14.453911657559196,25.176466049382707,6.377777777777777,9.566666666666666,19.133333333333333
16717,8.8,1.7600000000000002,2.2,6.4125,15.520454545454545,8.8,12.05580808080808,15.96736111111111,14.608333333333333,8.8,8.8
16718,7.183333333333334,2.3944444444444444,5.668750000000001,10.326412581480845,7.183333333333334,3.591666666666667,10.133333333333333,20.053819200179014,6.866666666666667,7.183333333333334,7.183333333333334
16719,3.8833333333333333,3.8833333333333333,12.633333333333333,5.358420138888889,1.9416666666666667,3.8833333333333333,11.976190476190476,11.160185185185185,9.828993055555555,10.399019607843137,3.8833333333333333
16720,38.81666666666667,1.68768115942029,2.985897435897436,6.469444444444445,38.81666666666667,4.312962962962963,3.881666666666667,38.81666666666667,19.408333333333335,38.81666666666667,7.763333333333334
16721,37.7,1.1424242424242426,18.85,9.425,37.7,7.540000000000001,9.425,37.7,37.7,12.566666666666668,12.566666666666668
16722,36.1,3.6100000000000003,7.220000000000001,18.05,18.05,12.033333333333333,20.091766381766387,9.025,27.600777777777775,24.01558159722222,17.565931069958847
16723,35.9,7.18,11.966666666666667,17.38866959064327,35.9,17.95,8.975,26.029365079365085,29.13164251207728,25.1011396011396,11.966666666666667
16724,34.766666666666666,2.897222222222222,3.4766666666666666,14.326777777777778,17.383333333333333,11.588888888888889,20.238888888888898,17.383333333333333,34.766666666666666,34.766666666666666,8.691666666666666
16725,27.333333333333332,5.466666666666667,5.466666666666667,10.655257936507935,22.9968954248366,9.11111111111111,27.333333333333332,27.333333333333332,23.525757575757574,20.540890522875824,13.666666666666666
